placement	placement_desc	version	version_label	size_bytes	reps	median_us	min_us	max_us	spread_pct	bandwidth_GBs
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	4096	5	4.745007	4.730105	5.391717	13.99	0.8632
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	8192	5	15.982032	15.959859	17.593145	10.23	0.5126
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	16384	5	16.260266	16.214967	17.793655	9.74	1.0076
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	32768	5	16.910791	16.898751	18.457770	9.23	1.9377
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	65536	5	18.230200	18.191695	20.321608	11.71	3.5949
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	131072	5	20.999908	20.863891	24.445772	17.17	6.2416
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	262144	5	26.969433	26.843786	31.986952	19.16	9.7200
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	524288	5	38.042188	38.011909	46.274424	21.74	13.7818
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	1048576	5	60.354590	60.305476	63.537002	5.36	17.3736
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	2097152	5	105.563521	105.515718	108.936906	3.24	19.8663
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	4194304	5	197.294712	197.056770	198.857427	0.91	21.2591
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	8388608	5	376.131654	375.596046	382.187486	1.75	22.3023
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	16777216	5	743.164301	740.036964	747.818470	1.05	22.5754
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	33554432	5	7695.867062	7539.584398	9613.406539	27.51	4.3601
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	67108864	5	14204.551935	14166.208982	18088.584900	27.69	4.7245
2node	inter-node	converse	old Converse	16	5	8.480266	7.203542	17.131554	137.82	0.0019
2node	inter-node	converse	old Converse	32	5	8.549005	6.842655	16.673013	143.66	0.0037
2node	inter-node	converse	old Converse	64	5	8.302408	6.819125	8.978462	31.67	0.0077
